Report Number,Title of Report,Classification,Date,Formula,Year,Month,Season,latitude,longitude,State,Country,Region
15170,Report 15170: Daytime sighting near Everglades National Park,Class A,2006-03-01T12:00:00Z,2006,2006,March,Spring,25.141,-80.926,FL,United States,Southeast
24241,Report 24241: Family has a strange and terrifying encounter while fishing in the Everglades National Park,Class B,1975-06-18T12:00:00Z,1975,1975,June,Summer,25.19935,-80.87379,FL,United States,Southeast
36218,Report 36218: Early morning encounter during a rest stop near Florida City,Class A,1995-03-15T12:00:00Z,1995,1995,March,Spring,25.39544,-80.59502,FL,United States,Southeast
1719,Report 1719: Possible collision with vehicle outside Homestead,Class B,1972-03-15T12:00:00Z,1972,1972,March,Spring,25.4817,-80.5158,FL,United States,Southeast
21951,Report 21951: Man describes figure looking into window outside Homestead,Class A,1977-11-15T12:00:00Z,1977,1977,November,Fall,25.51665,-80.43689,FL,United States,Southeast
49084,Report 49084: Memory told of a 'Hairy Man' crossing Hwy. 27 north of Homestead,Class A,1975-06-20T12:00:00Z,1975,1975,June,Summer,25.54494,-80.47805,FL,United States,Southeast
38893,Report 38893: Driver spots a tall biped crossing the road just west of Miami,Class B,2010-11-10T12:00:00Z,2010,2010,November,Fall,25.73951,-80.48021,FL,United States,Southeast
37203,Report 37203: Daylight sighting of a man-like ape while target shooting in the Big Cypress National Preserve,Class A,2012-11-04T12:00:00Z,2012,2012,November,Fall,25.76119,-80.58182,FL,United States,Southeast
1283,Report 1283:  Heard and then chased by creature,Class B,1992-02-15T12:00:00Z,1992,1992,February,Winter,25.782,-81.07385,FL,United States,Southeast
2915,Report 2915: Campers hear unfamiliar vocalizations at night in the Everglades,Class B,2001-03-01T12:00:00Z,2001,2001,March,Spring,25.84875,-81.3142,FL,United States,Southeast
15318,Report 15318: Possible vocalizations noted by fishermen at night off of SR 41,Class B,1997-10-01T12:00:00Z,1997,1997,October,Fall,25.86895,-81.1498,FL,United States,Southeast
35218,Report 35218: Possible incidents at Bear Island Campground in Big Cypress National Preserve,Class B,2012-03-11T12:00:00Z,2012,2012,March,Spring,25.889,-81.3215,FL,United States,Southeast
7205,Report 7205: Morning sighting by carpenter crew near Ochopee,Class A,1979-08-01T12:00:00Z,1979,1979,August,Summer,25.8972,-81.3065,FL,United States,Southeast
22156,Report 22156: More Tracks Found in the Big Cypress Region (w/photos),Class B,2007-12-09T12:00:00Z,2007,2007,December,Winter,25.901,-81.303,FL,United States,Southeast
721,Report 721: Series of reports (6) concerning the Skunk Ape.  Photos of the creature and footcasts,Class A,1997-07-17T12:00:00Z,1997,1997,July,Summer,25.91695,-81.29691,FL,United States,Southeast
13514,Report 13514: Daylight sighting by motorist on U.S. 41 near I-29,Class A,2005-06-02T12:00:00Z,2005,2005,June,Summer,25.927,-81.33,FL,United States,Southeast
18737,Report 18737: Campers report possible vocalization and footprint in Big Cypress National Preserve,Class B,2005-04-09T12:00:00Z,2005,2005,April,Spring,25.953,-81.356,FL,United States,Southeast
24656,Report 24656: Daylight sighting from Hwy. 41 in the Big Cypress National Preserve,Class A,2008-09-01T12:00:00Z,2008,2008,September,Fall,25.95574,-81.48598,FL,United States,Southeast
16303,"Report 16303: Daylight sighting by motorist near Everglades City, off Turner River Road.",Class A,2001-10-15T12:00:00Z,2001,2001,October,Fall,26.0079,-81.22285,FL,United States,Southeast
2856,Report 2856: Construction worker has startling encounter outside hunting cottage,Class A,2004-02-21T12:00:00Z,2004,2004,February,Winter,26.01535,-81.0651,FL,United States,Southeast
39382,Report 39382: Frightening encounter experienced on family property outside Naples,Class B,2010-04-15T12:00:00Z,2010,2010,April,Spring,26.03808,-81.64948,FL,United States,Southeast
44837,Report 44837: Years of South Florida Skunk Ape stories supported by witness accounts and newspaper articles,Class A,1974-07-20T12:00:00Z,1974,1974,July,Summer,26.05091,-80.29457,FL,United States,Southeast
14271,Report 14271: Possible tracks noticed by hunters in the Everglades outside Everglades City,Class B,1975-09-01T12:00:00Z,1975,1975,September,Fall,26.0645,-81.3615,FL,United States,Southeast
720,"Report 720: Hunter reports finding strange tracks in the Everglades, near the area of the Dade County and Collier County line, between Big Cypress and Alligator Alley.",Class A,1993-11-20T12:00:00Z,1993,1993,November,Fall,26.06885,-80.8368,FL,United States,Southeast
594,"Report 594: a sighting by a group of boys along a canal, a mile or so north of South New River.",Class A,1980-07-15T12:00:00Z,1980,1980,July,Summer,26.08285,-80.21025,FL,United States,Southeast
13889,Report 13889: Man describes incidents in teen years in swamp area outside Naples,Class B,2007-07-15T12:00:00Z,2007,2007,July,Summer,26.09729,-81.71505,FL,United States,Southeast
607,"Report 607: while hunting hogs near a cypress bayhead, witness saw a dark brown/black bi-pedal creature.",Class A,1983-11-19T12:00:00Z,1983,1983,November,Fall,26.15915,-81.76041,FL,United States,Southeast
16347,Report 16347: Possible mid-day sighting by motorist on I-75  (Alligator Alley) in the Everglades,Class B,2006-10-09T12:00:00Z,2006,2006,October,Fall,26.1699,-80.98849,FL,United States,Southeast
65655,Report 65655: Possible camp stalking at Bear Island Campground in Big Cypress National Preserve,Class B,2013-05-15T12:00:00Z,2013,2013,May,Spring,26.18326,-81.24751,FL,United States,Southeast
32227,Report 32227: Man describes possible encounters off Route 41 near Ochopee,Class B,2009-08-16T12:00:00Z,2009,2009,August,Summer,26.1875,-81.69245,FL,United States,Southeast
592,"Report 592: Two witnesses observed a large, black-brown human-like form  between Wiles Rd. and Sample Rd",Class A,1975-01-15T12:00:00Z,1975,1975,January,Winter,26.27395,-80.1937,FL,United States,Southeast
20420,Report 20420: Possible nightime encounter near Lake Trafford,Class B,1987-06-01T12:00:00Z,1987,1987,June,Summer,26.283,-81.2521,FL,United States,Southeast
17011,"Report 17011: Man describes teenage incident -- possible intimidation approach at 2 AM  in Coral Springs, at the edge of the Everglades.",Class B,2007-04-19T12:00:00Z,2007,2007,April,Spring,26.28516,-80.27977,FL,United States,Southeast
1831,Report 1831: Foot steps heard while walking on trail at night,Class B,1994-09-15T12:00:00Z,1994,1994,September,Fall,26.28585,-80.17845,FL,United States,Southeast
13048,Report 13048: Scream Heard in a Cypress Swamp outside Ft. Myers,Class B,1982-09-01T12:00:00Z,1982,1982,September,Fall,26.529,-81.6455,FL,United States,Southeast
414,Report 414: Year long sightings by family,Class A,1974-07-15T12:00:00Z,1974,1974,July,Summer,26.5931,-80.21295,FL,United States,Southeast
1030,"Report 1030: 5 children observe a very large hairy ""man"" for several minutes (N. Ft. Myers)",Class A,1973-08-23T12:00:00Z,1973,1973,August,Summer,26.59885,-81.8708,FL,United States,Southeast
11762,Report 11762: Daylight sighting by motorist couple in the Montura Estates area.,Class A,1982-02-01T12:00:00Z,1982,1982,February,Winter,26.61979,-80.60976,FL,United States,Southeast
6992,Report 6992: Large bipedal creature passes child's window near Ft.Myers,Class B,2004-02-17T12:00:00Z,2004,2004,February,Winter,26.6685,-81.8768,FL,United States,Southeast
38924,Report 38924: Fisherman comes face to face with tall ape-like creature in Ft. Myers,Class A,2009-09-14T12:00:00Z,2009,2009,September,Fall,26.67822,-81.81697,FL,United States,Southeast
