State,Season,country,region,Sightings
WA,Fall,United States,West,194
WA,Summer,United States,West,175
CA,Summer,United States,West,121
WA,Spring,United States,West,111
OH,Summer,United States,Midwest,107
FL,Fall,United States,Southeast,93
OR,Summer,United States,West,93
CA,Fall,United States,West,88
IL,Fall,United States,Midwest,80
OH,Fall,United States,Midwest,78
FL,Summer,United States,Southeast,78
TX,Fall,United States,Southwest,66
MI,Summer,United States,Midwest,64
OR,Fall,United States,West,64
FL,Winter,United States,Southeast,62
MI,Fall,United States,Midwest,58
TX,Winter,United States,Southwest,58
WA,Winter,United States,West,58
FL,Spring,United States,Southeast,56
OH,Winter,United States,Midwest,51
OH,Spring,United States,Midwest,51
IL,Summer,United States,Midwest,50
TX,Summer,United States,Southwest,50
MO,Summer,United States,Midwest,46
MO,Fall,United States,Midwest,45
GA,Summer,United States,Southeast,44
CO,Fall,United States,West,42
IL,Winter,United States,Midwest,41
GA,Fall,United States,Southeast,39
CO,Summer,United States,West,39
IL,Spring,United States,Midwest,37
CA,Spring,United States,West,36
KY,Fall,United States,Southeast,35
WV,Summer,United States,Southeast,33
AR,Fall,United States,Southeast,33
TX,Spring,United States,Southwest,33
MO,Spring,United States,Midwest,32
NC,Fall,United States,Southeast,32
BC,Summer,Canada,West Coast,32
WI,Summer,United States,Midwest,31
WV,Fall,United States,Southeast,31
AZ,Summer,United States,Southwest,31
KY,Summer,United States,Southeast,30
CA,Winter,United States,West,30
ID,Summer,United States,West,30
ID,Fall,United States,West,30
OK,Fall,United States,Southwest,29
AL,Fall,United States,Southeast,28
VA,Summer,United States,Southeast,27
AR,Summer,United States,Southeast,26
MI,Spring,United States,Midwest,25
WI,Fall,United States,Midwest,25
BC,Fall,Canada,West Coast,24
NC,Summer,United States,Southeast,23
VA,Fall,United States,Southeast,22
AL,Summer,United States,Southeast,22
NY,Fall,United States,Northeast,21
KY,Winter,United States,Southeast,21
TN,Summer,United States,Southeast,21
OK,Spring,United States,Southwest,21
MO,Winter,United States,Midwest,20
IN,Summer,United States,Midwest,20
PA,Fall,United States,Northeast,19
AL,Spring,United States,Southeast,19
AZ,Fall,United States,Southwest,19
OR,Spring,United States,West,19
ON,Winter,Canada,Central Canada,18
IA,Fall,United States,Midwest,18
MN,Summer,United States,Midwest,18
AL,Winter,United States,Southeast,18
TN,Fall,United States,Southeast,18
MT,Summer,United States,West,18
TN,Spring,United States,Southeast,17
VA,Spring,United States,Southeast,17
AR,Spring,United States,Southeast,17
GA,Spring,United States,Southeast,17
OK,Summer,United States,Southwest,17
UT,Summer,United States,West,17
CO,Spring,United States,West,17
OR,Winter,United States,West,17
NY,Summer,United States,Northeast,16
GA,Winter,United States,Southeast,16
AR,Winter,United States,Southeast,16
OK,Winter,United States,Southwest,16
MI,Winter,United States,Midwest,15
NY,Spring,United States,Northeast,15
VA,Winter,United States,Southeast,15
UT,Fall,United States,West,15
BC,Spring,Canada,West Coast,15
BC,Winter,Canada,West Coast,15
ON,Summer,Canada,Central Canada,14
WV,Spring,United States,Southeast,14
WV,Winter,United States,Southeast,14
IA,Summer,United States,Midwest,13
PA,Summer,United States,Northeast,13
NJ,Fall,United States,Northeast,13
NJ,Winter,United States,Northeast,13
LA,Summer,United States,Southeast,13
MN,Fall,United States,Midwest,12
WI,Winter,United States,Midwest,12
AB,Summer,Canada,Prairie,12
KY,Spring,United States,Southeast,12
MT,Fall,United States,West,12
IN,Fall,United States,Midwest,11
KS,Fall,United States,Midwest,11
KS,Summer,United States,Midwest,11
PA,Winter,United States,Northeast,11
NC,Spring,United States,Southeast,11
WI,Spring,United States,Midwest,10
KS,Spring,United States,Midwest,10
NJ,Summer,United States,Northeast,10
LA,Fall,United States,Southeast,10
TN,Winter,United States,Southeast,10
MT,Winter,United States,West,10
MS,Fall,United States,Southeast,9
AZ,Winter,United States,Southwest,9
NM,Summer,United States,Southwest,9
CO,Winter,United States,West,9
KS,Winter,United States,Midwest,8
NY,Winter,United States,Northeast,8
SC,Fall,United States,Southeast,8
SC,Spring,United States,Southeast,8
LA,Winter,United States,Southeast,8
AZ,Spring,United States,Southwest,8
MT,Spring,United States,West,8
NE,Fall,United States,Midwest,7
IA,Winter,United States,Midwest,7
MN,Spring,United States,Midwest,7
MA,Spring,United States,Northeast,7
MA,Fall,United States,Northeast,7
NJ,Spring,United States,Northeast,7
SC,Summer,United States,Southeast,7
NC,Winter,United States,Southeast,7
ID,Winter,United States,West,7
ON,Spring,Canada,Central Canada,6
NE,Summer,United States,Midwest,6
MN,Winter,United States,Midwest,6
CT,Fall,United States,Northeast,6
MA,Summer,United States,Northeast,6
AB,Fall,Canada,Prairie,6
MS,Winter,United States,Southeast,6
NM,Winter,United States,Southwest,6
NM,Spring,United States,Southwest,6
UT,Winter,United States,West,6
ON,Fall,Canada,Central Canada,5
IA,Spring,United States,Midwest,5
IN,Winter,United States,Midwest,5
CT,Summer,United States,Northeast,5
MD,Spring,United States,Northeast,5
MB,Summer,Canada,Prairie,5
AB,Spring,Canada,Prairie,5
MS,Summer,United States,Southeast,5
NM,Fall,United States,Southwest,5
UT,Spring,United States,West,5
WY,Summer,United States,West,5
AK,Summer,United States,West,5
IN,Spring,United States,Midwest,4
NH,Fall,United States,Northeast,4
ME,Fall,United States,Northeast,4
RI,Fall,United States,Northeast,4
ME,Winter,United States,Northeast,4
PA,Spring,United States,Northeast,4
AB,Winter,Canada,Prairie,4
LA,Spring,United States,Southeast,4
SC,Winter,United States,Southeast,4
NV,Fall,United States,West,4
ID,Spring,United States,West,4
WY,Fall,United States,West,4
NB,Summer,Canada,Atlantic,3
SD,Fall,United States,Midwest,3
MD,Summer,United States,Northeast,3
MA,Winter,United States,Northeast,3
NH,Summer,United States,Northeast,3
MD,Fall,United States,Northeast,3
MB,Fall,Canada,Prairie,3
MB,Spring,Canada,Prairie,3
WY,Spring,United States,West,3
AK,Spring,United States,West,3
AK,Winter,United States,West,3
YT,Summer,Canada,North,2
NS,Fall,Canada,Atlantic,2
ND,Winter,United States,Midwest,2
SD,Summer,United States,Midwest,2
VT,Spring,United States,Northeast,2
SK,Fall,Canada,Prairie,2
NV,Summer,United States,West,2
YT,Spring,Canada,North,1
QC,Summer,Canada,Central Canada,1
QC,Winter,Canada,Central Canada,1
QC,Spring,Canada,Central Canada,1
ND,Spring,United States,Midwest,1
SD,Winter,United States,Midwest,1
NE,Winter,United States,Midwest,1
ND,Summer,United States,Midwest,1
NE,Spring,United States,Midwest,1
RI,Summer,United States,Northeast,1
DE,Winter,United States,Northeast,1
VT,Summer,United States,Northeast,1
VT,Fall,United States,Northeast,1
CT,Winter,United States,Northeast,1
DE,Summer,United States,Northeast,1
DE,Fall,United States,Northeast,1
CT,Spring,United States,Northeast,1
ME,Summer,United States,Northeast,1
SK,Summer,Canada,Prairie,1
MB,Winter,Canada,Prairie,1
SK,Spring,Canada,Prairie,1
MS,Spring,United States,Southeast,1
WA,Spring,United States,Southwest,1
NV,Winter,United States,West,1
